1620302400000,57988.00000000,58099.00000000,57710.23000000,57748.53000000,643.59384500,1620303299999,37264870.13067428,23188,320.89028500,18584318.78907237,0
1620303300000,57747.77000000,57867.96000000,57558.73000000,57789.64000000,805.65167000,1620304199999,46498720.55737118,25676,412.50774800,23807786.10088050,0
1620304200000,57789.65000000,57801.95000000,57614.50000000,57686.62000000,691.52928500,1620305099999,39904098.79155931,24074,321.76669300,18566642.33467147,0
1620305100000,57686.62000000,57750.00000000,57448.94000000,57616.97000000,761.99049300,1620305999999,43897516.87278425,27684,350.17959800,20177243.11747894,0
1620306000000,57616.98000000,57700.00000000,57251.00000000,57376.63000000,1017.70784800,1620306899999,58494672.55093854,29522,511.92249800,29425333.17164307,0
1620306900000,57370.89000000,57522.80000000,57182.11000000,57378.80000000,749.97533100,1620307799999,43019701.90545598,26170,381.70081200,21895060.46926094,0
1620307800000,57378.81000000,57496.99000000,57260.28000000,57389.91000000,567.71536100,1620308699999,32574803.30061719,23012,292.27686300,16770023.83488092,0
1620308700000,57389.91000000,57513.46000000,57051.96000000,57271.31000000,712.41935100,1620309599999,40843552.67555927,26090,333.49554100,19124533.96631470,0
1620309600000,57271.31000000,57359.76000000,56875.40000000,57070.00000000,665.29797300,1620310499999,37994845.06853006,27972,307.13240500,17539440.36353453,0
1620310500000,57069.99000000,57293.17000000,57026.26000000,57264.33000000,667.78631400,1620311399999,38174534.43870334,21298,327.62127900,18727896.56180761,0
1620311400000,57260.95000000,57357.43000000,57152.61000000,57175.48000000,570.86010100,1620312299999,32668690.33447945,19943,267.41086300,15304348.53835415,0
1620312300000,57175.49000000,57399.99000000,57124.08000000,57153.13000000,590.13764200,1620313199999,33792874.95307269,21356,263.82577300,15107702.89547882,0
1620313200000,57153.12000000,57282.13000000,56880.00000000,57055.35000000,858.01954900,1620314099999,48937353.11385301,28415,383.30275200,21864388.01967811,0
1620314100000,57055.34000000,57110.91000000,56905.38000000,57000.00000000,757.29306900,1620314999999,43189774.22046818,29107,375.21734900,21399707.16324652,0
1620315000000,57000.00000000,57126.68000000,56935.45000000,57058.10000000,687.33479300,1620315899999,39200942.35031822,26586,320.32993900,18269261.88578925,0
1620315900000,57058.10000000,57350.72000000,56763.00000000,57088.49000000,1344.87587800,1620316799999,76738561.10859981,41253,628.47854700,35873763.61735435,0
1620316800000,57088.48000000,57244.48000000,56841.87000000,57156.50000000,968.45753800,1620317699999,55301111.28850694,39858,505.82475600,28884780.33947679,0
1620317700000,57156.49000000,57475.00000000,56996.75000000,57261.48000000,1030.74506500,1620318599999,59055057.18999698,38867,503.65022700,28849350.22218137,0
1620318600000,57260.81000000,57294.84000000,56991.36000000,57081.13000000,770.33477600,1620319499999,44031853.78342635,35361,338.78727400,19361301.53713313,0
1620319500000,57081.13000000,57083.23000000,56574.19000000,56718.03000000,1010.47892300,1620320399999,57414749.48808758,38857,431.00818300,24490357.96072859,0
1620320400000,56718.04000000,56986.08000000,56684.87000000,56898.01000000,521.09271300,1620321299999,29649126.65830978,22331,247.89617000,14105081.37911813,0
1620321300000,56898.02000000,57023.36000000,56891.78000000,56980.29000000,436.38249100,1620322199999,24863966.35995950,20693,221.46272900,12618507.46690809,0
1620322200000,56980.29000000,57100.00000000,56881.72000000,56949.94000000,514.08341500,1620323099999,29291646.94200621,22528,249.59902800,14222704.00582167,0
1620323100000,56949.94000000,57024.71000000,56734.05000000,56777.00000000,645.60004700,1620323999999,36728137.53193269,26397,324.15237000,18443199.25009639,0
1620324000000,56775.54000000,56970.00000000,56668.21000000,56838.08000000,741.75920900,1620324899999,42152223.21664955,25476,354.52637900,20145827.93197382,0
1620324900000,56838.09000000,56938.54000000,56666.00000000,56698.29000000,737.00257900,1620325799999,41873350.10948534,25669,382.91572400,21754733.49056869,0
1620325800000,56697.65000000,56763.85000000,55450.00000000,55614.44000000,2968.34207300,1620326699999,165993788.40128715,119005,1251.53955600,69970517.18717205,0
1620326700000,55616.68000000,56000.00000000,55450.00000000,55753.57000000,1994.24889300,1620327599999,111324936.16816202,63204,899.87745900,50237558.45760754,0
1620327600000,55752.54000000,55956.28000000,55447.71000000,55641.40000000,1390.58565300,1620328499999,77498869.71270332,42129,652.26264700,36356620.45026689,0
1620328500000,55634.86000000,55672.83000000,55200.00000000,55659.01000000,1624.58505900,1620329399999,90079864.09304449,48215,756.10387900,41929912.65314979,0
1620329400000,55659.01000000,55979.99000000,55651.33000000,55910.95000000,822.72850800,1620330299999,45928056.09315780,29620,432.80185000,24161239.95430049,0
1620330300000,55903.78000000,56358.96000000,55894.88000000,56128.42000000,1005.48132100,1620331199999,56446273.19597823,33561,499.70414100,28055120.12797427,0
1620331200000,56128.42000000,56188.58000000,55674.13000000,55814.49000000,1187.24644400,1620332099999,66381322.96765084,34491,580.69465500,32469004.00715431,0
1620332100000,55814.49000000,56019.84000000,55686.12000000,56019.83000000,671.60296100,1620332999999,37530495.42729810,20971,310.71995500,17365642.01029491,0
1620333000000,56019.84000000,56269.00000000,55795.36000000,55873.88000000,946.89732000,1620333899999,53012314.87003125,25310,419.26228900,23468560.85681668,0
1620333900000,55873.87000000,56061.73000000,55795.36000000,55913.75000000,497.37076300,1620334799999,27817885.71144267,19360,243.62227400,13625830.81065239,0
1620334800000,55913.76000000,56168.09000000,55890.86000000,56134.07000000,421.19218400,1620335699999,23590714.42091626,21103,214.97547700,12041832.68067615,0
1620335700000,56133.99000000,56259.89000000,56022.88000000,56240.72000000,535.80888500,1620336599999,30087844.47272847,20758,223.97008600,12577654.18080952,0
1620336600000,56240.72000000,56364.14000000,56160.45000000,56275.00000000,376.60966200,1620337499999,21188309.51609826,22661,192.10681300,10809319.10457021,0
1620337500000,56275.00000000,56452.82000000,56250.00000000,56296.52000000,605.47078200,1620338399999,34097249.43017702,23124,298.07910800,16786309.55136801,0
1620338400000,56296.52000000,56398.98000000,56186.16000000,56205.11000000,646.98639700,1620339299999,36405135.06532007,24518,287.81189000,16195237.85953944,0
1620339300000,56205.10000000,56448.27000000,56200.00000000,56237.58000000,387.07631600,1620340199999,21804887.62008221,17292,178.04376900,10030088.66142459,0
1620340200000,56237.57000000,56564.17000000,56237.57000000,56487.43000000,361.80658900,1620341099999,20409076.17850389,16116,199.20156900,11238049.92824958,0
1620341100000,56487.43000000,56513.01000000,56378.01000000,56498.56000000,455.49249800,1620341999999,25713429.90867247,15913,188.23365900,10625518.49781394,0
1620342000000,56498.56000000,56554.68000000,56329.00000000,56535.67000000,446.95703500,1620342899999,25230471.85918604,20239,210.88268100,11905501.15551917,0
1620342900000,56535.66000000,56677.19000000,56254.29000000,56530.44000000,593.84984500,1620343799999,33519314.48051387,25580,288.34573100,16276584.19625952,0
1620343800000,56530.45000000,56794.40000000,56403.75000000,56468.49000000,510.19711200,1620344699999,28885690.73746237,20852,243.27994400,13776214.85664217,0
1620344700000,56468.36000000,56615.93000000,56300.28000000,56393.68000000,432.91009700,1620345599999,24432564.29999903,15841,183.11807600,10337366.95891500,0
1620345600000,56393.68000000,56747.53000000,56028.46000000,56709.60000000,1021.81106500,1620346499999,57582988.18647238,35596,496.18600800,27969043.88063941,0
1620346500000,56709.61000000,57122.17000000,56695.53000000,56781.24000000,1065.77970400,1620347399999,60670829.14890025,38420,520.12484700,29611661.11564445,0
1620347400000,56781.24000000,56859.73000000,56571.42000000,56734.95000000,771.42973900,1620348299999,43743670.08971856,25266,341.96426000,19391376.13898788,0
1620348300000,56734.96000000,56842.30000000,56370.92000000,56376.29000000,813.22531500,1620349199999,46032234.34864698,24547,367.92585900,20822656.35169767,0
1620349200000,56376.33000000,56565.88000000,55900.00000000,56037.84000000,964.74631100,1620350099999,54226937.47017313,30682,409.81229600,23037472.37282031,0
1620350100000,56037.79000000,56300.02000000,56037.79000000,56260.00000000,589.38019100,1620350999999,33113159.40289602,18886,292.37333300,16426688.64948321,0
1620351000000,56260.00000000,56324.66000000,56021.99000000,56105.39000000,581.28216100,1620351899999,32670825.41644919,19191,299.33990800,16826405.18033924,0
